sub	fit_tau	planQuality
S11135	1.1544434524	good
S123177	1.8953898823	good
S126242	3.4502248756	bad
S14208	1.3368574936	good
S156147	1.9454559336	good
S16432	1.3490404211	good
S164546	1.2596282043	good
S166242	1.5149943646	good
S180888	3.4539065401	bad
S185508	3.8150740688	bad
S191334	2.9382678516	bad
S20545	2.56328814	bad
S224593	1.2508207219	good
S235282	5.2400784332	bad
S247056	2.08492804	bad
S248332	1.8198695986	good
S250296	3.9342760775	bad
S256137	1.5156297507	good
S265716	1.112526738	good
S269331	1.2971301712	good
S279506	1.1154506512	good
S280055	2.6062271956	bad
S29058	3.7110260794	bad
S293561	2.4627299632	bad
S294201	1.6440208987	good
S294423	2.2935475717	bad
S299579	2.4114787043	bad
S299693	2.0732588502	good
S311128	3.0574969614	bad
S319548	1.4741550285	good
S334404	0.8677133066	good
S336295	0.9698259199	good
S337973	0.4500209034	good
S34222	2.6045954676	bad
S342386	1.9721534096	good
S34564	0.7858096052	good
S355417	1.403569009	good
S357773	0.9554594167	good
S365730	0.9498418943	good
S368470	2.7962343378	bad
S37550	2.0373302122	good
S376806	1.5468901341	good
S381257	3.5735136046	bad
S391243	5.7676926434	bad
S394005	2.7161009427	bad
S398678	2.4395688327	bad
S402333	2.2253094511	bad
S409816	5.1491506734	bad
S411804	4.2334377735	bad
S413158	1.0000554671	good
S414838	2.2683944888	bad
S415189	2.9844198511	bad
S419107	2.6757051488	bad
S421809	1.3228197897	good
S42633	1.5506660348	good
S455320	1.6309573413	good
S482085	1.476233736	good
S489428	3.8836004833	bad
S490917	4.959470638	bad
S49292	1.5655293318	good
S505076	2.2314966464	bad
S507343	1.7967899277	good
S524015	1.9297397777	good
S528885	1.4571587753	good
S531684	0.8918031746	good
S553913	1.4949248562	good
S559226	1.8855947307	good
S582832	1.1920436324	good
S599357	2.3638178114	bad
S600079	1.6900484621	good
S600877	1.9097691541	good
S607333	2.2081264632	bad
S622759	2.5667681261	bad
S625801	2.235215782	bad
S633374	3.7281500982	bad
S646424	5.1014395426	bad
S649302	1.0698889557	good
S653044	0.8409369763	good
S661572	2.7365189746	bad
S666066	3.3625244994	bad
S673562	1.9871141005	good
S680947	1.6644671519	good
S699104	3.8532729351	bad
S701323	2.0178489585	good
S702215	1.4999262795	good
S717976	2.2906564786	bad
S722906	5.0014263877	bad
S723916	2.0998840612	bad
S727474	1.478151668	good
S737098	3.4279761819	bad
S738760	1.8145022788	good
S748157	2.0957116276	bad
S74893	3.4600765394	bad
S75262	1.3776256828	good
S76694	3.8622262641	bad
S767416	1.4404805107	good
S769114	2.0785253633	bad
S771420	1.7998408843	good
S773407	2.4203056934	bad
S776069	2.5609541115	bad
S781012	2.073273244	good
S78642	3.8759795644	bad
S795207	1.1371380282	good
S818256	2.1332776992	bad
S826168	3.8254466674	bad
S852951	2.0356743851	good
S854503	2.3949711192	bad
S858712	3.2415682483	bad
S882638	1.4643311303	good
S890803	1.7712512867	good
S896860	3.7228526191	bad
S898785	3.0869913616	bad
S913185	1.0359794109	good
S926415	1.7506987781	good
S932984	1.9001019715	good
S934665	3.2773716342	bad
S94248	1.3672265678	good
S952115	2.8904836822	bad
S97579	2.8643760539	bad
S976844	3.6231359864	bad
S981207	1.3666392312	good
S983016	1.7108644147	good
S983809	2.2844453952	bad
S989739	2.3443073366	bad
S990120	2.8478616862	bad
S994778	2.1342118779	bad
