world	node	child	value	prob	N	softmaxval
courtyard	N3719219	N990982	6.8	0.7777777778	126	0.6145944983
courtyard	N3719219	N3977188	8.2	0.2222222222	126	0.3854055017
courtyard	N990982	N6673600	7.6666665	1	98	0.891978444
courtyard	N990982	N3622934	14	0	98	0.108021556
cubicles	N7210304	N2319363	9	0.848	125	0.6343037802
cubicles	N7210304	N8435133	10.652175	0.152	125	0.3656962198
cubicles	N2319363	N2367950	9.75	1	107	0.7801715451
cubicles	N2319363	N3487541	13.549999	0	107	0.2198284549
library	N9553169	N7453865	11.666667	0.7777777778	126	0.5332840383
library	N9553169	N6857034	12.066667	0.2222222222	126	0.4667159617
bunker3	N1657801	N7360841	11.928571	0.5317460317	126	0.639092844
bunker3	N1657801	N4351810	13.642858	0.4682539683	126	0.360907156
cubicles	N8435133	N9556533	11.944446	1	19	0.76587868
cubicles	N8435133	N4303499	15.499999	0	19	0.23412132
labyrinth3	N8899359	N8858377	12.727272	0.3650793651	126	0.4112956459
labyrinth3	N8899359	N5316967	13.09091	0.380952381	126	0.3643444175
labyrinth3	N8899359	N7730376	14.545454	0.253968254	126	0.2243599366
tworooms	N1627744	N7416731	13.2	0.648	125	0.6803880442
tworooms	N1627744	N2169075	15.466667	0.352	125	0.3196119558
cubicles	N9556533	N9487763	13.214287	0.968	125	0.616847796
cubicles	N9556533	N4932175	14.642857	0.032	125	0.383152204
cathedral	N608136	N7058269	13.299999	0.8086956522	115	0.5825703686
cathedral	N608136	N9813836	14.300001	0.1913043478	115	0.4174296314
roomG	N3215843	N9994126	13.3529415	0.5396825397	126	0.5777944333
roomG	N3215843	N3886181	14.294119	0.4603174603	126	0.4222055667
library	N6857034	N2272684	13.727272	0.9920634921	126	0.712814049
library	N6857034	N54623	16.454544	0.0079365079	126	0.287185951
museum	N599523	N8999294	14.368422	0.736	125	0.6120979992
museum	N599523	N1035050	15.736841	0.264	125	0.3879020008
ikea	N9812190	N6109064	14.526315	0.624	125	0.6286234684
ikea	N9812190	N1448237	16.105263	0.376	125	0.3713765316
cubicles	N9487763	N9527877	14.700001	0.6349206349	126	0.5952301684
cubicles	N9487763	N8892822	17.1	0.3650793651	126	0.2674542441
cubicles	N9487763	N3493111	19.1	0	126	0.1373155875
labyrinth3	N5316967	N4592326	14.857143	0.4025974026	77	0.6390926902
labyrinth3	N5316967	N8407469	16.571428	0.5974025974	77	0.3609073098
garden	N5115068	N7850553	15.000001	0.456	125	0.4481884478
garden	N5115068	N7603509	15.571428	0.248	125	0.3704572746
garden	N5115068	N4747663	17.714285	0.296	125	0.1813542776
lab	N8548928	N9935630	15.076923	0.48	125	0.4746961014
lab	N8548928	N2655524	15.692307	0.28	125	0.3866604094
lab	N8548928	N4538173	18.76923	0.24	125	0.1386434892
labyrinth3	N8858377	N4938213	15.166667	0.3766233766	77	0.6093175154
labyrinth3	N8858377	N1078752	16.5	0.6233766234	77	0.3906824846
bunker3	N4351810	N6831977	15.3	0.1694915254	59	0.6302602229
bunker3	N4351810	N9720811	16.9	0.8305084746	59	0.3697397771
roomG	N3886181	N413710	15.769232	0.7063492063	126	0.4674561524
roomG	N3886181	N5279315	17.307692	0.0079365079	126	0.2799148788
roomG	N3886181	N1443972	17.615383	0.2857142857	126	0.2526289688
library	N2272684	N4522484	16.166666	0.7063492063	126	0.5165094861
library	N2272684	N9747004	16.833332	0.2936507937	126	0.4135885564
library	N2272684	N1620555	22.166666	0	126	0.0699019576
cathedral	N7058269	N6051250	16.333332	0.3936170213	94	0.6852011684
cathedral	N7058269	N6429694	18.666668	0.6063829787	94	0.3147988316
garden	N7603509	N2138712	16.916666	0.4	70	0.7418405033
garden	N7603509	N3123108	20.083336	0.6	70	0.2581594967
museum	N8999294	N3583653	16.928572	0.68	125	0.4520005101
museum	N8999294	N3878259	17.5	0.312	125	0.3736080706
museum	N8999294	N7239905	19.785715	0.008	125	0.1743914192
tworooms	N2169075	N2277	17	0.6818181818	44	0.3917741926
tworooms	N2169075	N763696	17.166666	0.0454545455	44	0.3706025895
tworooms	N2169075	N5159403	18.499998	0.2727272727	44	0.2376232179
museum	N1035050	N9449477	17.8	0.0303030303	33	0.5443276477
museum	N1035050	N9773808	18.333332	0.9696969697	33	0.4556723523
garden	N7850553	N6320060	18	0.4523809524	84	0.5332842042
garden	N7850553	N4613075	18.400002	0.5476190476	84	0.4667157958
tworooms	N2277	N6388298	18.3	0.7096774194	31	0.3964866818
tworooms	N2277	N5127596	18.5	0.064516129	31	0.3709160603
tworooms	N2277	N7291500	19.900002	0.2258064516	31	0.2325972579
ikea	N1448237	N4631048	18.357143	0.8253968254	126	0.4019254881
ikea	N1448237	N2396034	18.785713	0.0158730159	126	0.3484204889
ikea	N1448237	N234416	19.785715	0.1587301587	126	0.2496540231
lab	N9935630	N9994475	18.444445	0.7297297297	74	0.6093175947
lab	N9935630	N7839123	19.777779	0.2702702703	74	0.3906824053
cubicles	N8892822	N9981263	18.5	0.9347826087	46	0.4739159363
cubicles	N8892822	N2137138	19	0.0652173913	46	0.4011611792
cubicles	N8892822	N5568770	22.5	0	46	0.1249228845
roomG	N1443972	N2654501	18.727272	0.0833333333	36	0.4999240613
roomG	N1443972	N7117627	20.545454	0	36	0.2727063412
roomG	N1443972	N8317607	21.09091	0.9166666667	36	0.2273695975
library	N9747004	N8680754	19	1	37	0.8411308951
library	N9747004	N1647237	24	0	37	0.1588691049
ikea	N4631048	N9016413	19.500002	0.9719626168	107	0.5862738728
ikea	N4631048	N6560058	22.166668	0	107	0.2410244483
ikea	N4631048	N5861572	23.166666	0.0280373832	107	0.1727016789
tworooms	N5159403	N1738800	19.9	0.85	20	0.3483089983
tworooms	N5159403	N1559736	20.1	0.15	20	0.3258455009
tworooms	N5159403	N7004659	20.1	0	20	0.3258455009
garden	N4747663	N4619086	20.090908	0.464	125	0.2792523966
garden	N4747663	N8246099	20.090908	0.536	125	0.2792523966
garden	N4747663	N1289190	20.454544	0	125	0.2473746577
garden	N4747663	N5433401	21.181818	0	125	0.1941205492
roomG	N5279315	N2518305	20.285713	1	2	0.6817671869
roomG	N5279315	N6566182	22.571428	0	2	0.3182328131
cubicles	N9981263	N2053914	20.333332	0.976744186	43	0.8257146468
cubicles	N9981263	N2381213	24.999998	0.023255814	43	0.1742853532
museum	N3878259	N4337909	20.5	0.9210526316	38	0.4845992808
museum	N3878259	N5843320	21.7	0.0526315789	38	0.3248366122
museum	N3878259	N2766129	23.300001	0.0263157895	38	0.190564107
tworooms	N6388298	N2446217	20.571428	0.46875	32	0.6607563688
tworooms	N6388298	N3112363	22.571428	0.53125	32	0.3392436312
lab	N4538173	N3633749	20.636364	0.38	50	0.296303751
lab	N4538173	N6476882	20.818182	0	50	0.2788793118
lab	N4538173	N2899302	21.545456	0	50	0.2188429715
lab	N4538173	N63617	21.72727	0.62	50	0.2059739657
ikea	N234416	N3896859	21	0.9130434783	23	0.5487797224
ikea	N234416	N6099980	23.666666	0.0434782609	23	0.2256101388
ikea	N234416	N9299941	23.666666	0.0434782609	23	0.2256101388
roomG	N8317607	N1983096	21.900002	0.9696969697	33	0.6607563688
roomG	N8317607	N940315	23.900002	0.0303030303	33	0.3392436312
garden	N8246099	N7340845	22.222221	0.9850746269	67	0.3644892719
garden	N8246099	N7102836	22.222225	0	67	0.3644887859
garden	N8246099	N4984823	23.111113	0.0149253731	67	0.2710219422
tworooms	N1738800	N7295169	22.428572	0.6666666667	33	0.5237916029
tworooms	N1738800	N5180650	22.714287	0.3333333333	33	0.4762083971
ikea	N2396034	N5268104	22.5	1	2	0.5825702065
ikea	N2396034	N239392	23.5	0	2	0.4174297935
museum	N4337909	N3311969	22.75	0.9142857143	35	0.6607563688
museum	N4337909	N4708138	24.75	0.0857142857	35	0.3392436312
lab	N3633749	N9315520	22.88889	0	49	0.3095302842
lab	N3633749	N752499	23.777777	0	49	0.2301566742
lab	N3633749	N2601690	23.777779	1	49	0.2301565208
lab	N3633749	N9447532	23.777779	0	49	0.2301565208
lab	N63617	N5745806	22.9	1	49	0.3258277957
lab	N63617	N242960	23.7	0	49	0.2495607422
lab	N63617	N2927853	23.9	0	49	0.2334658175
lab	N63617	N6241308	24.5	0	49	0.1911456446
lab	N5745806	N1113507	24.222221	0.612244898	49	0.3644890845
lab	N5745806	N9798875	24.222223	0.1020408163	49	0.3644888415
lab	N5745806	N7444307	25.11111	0.2857142857	49	0.2710220739
garden	N1289190	N3717284	24.428572	0	2	0.5397826102
garden	N1289190	N2798849	26.714287	0	2	0.2519577677
garden	N1289190	N2469465	27.285715	1	2	0.2082596222
lab	N2601690	N1930098	25.25	0.1836734694	49	0.4110045483
lab	N2601690	N7646124	26.249998	0.3469387755	49	0.294497824
lab	N2601690	N124975	26.25	0.4693877551	49	0.2944976277
museum	N8235434	N9086861	25.25	1	3	0.5825702065
museum	N8235434	N1421546	26.25	0	3	0.4174297935
