"","world","node","child","value","prob","N"
"1","courtyard","N3719219","N990982",6.8,0.888888888888889,63
"2","courtyard","N990982","N6673600",7.6666665,1,56
"3","courtyard","N3719219","N3977188",8.2,0.111111111111111,63
"4","cubicles","N7210304","N2319363",9,0.919354838709677,62
"5","cathedral","N5304576","N54855",9,1,63
"6","courtyard","N3977188","N8241686",9.4,1,7
"7","library","N1658372","N1133954",9.5,1,62
"8","bunker3","N7803842","N8595069",9.73913,1,63
"9","cubicles","N2319363","N2367950",9.75,1,58
"10","labyrinth3","N4818702","N5198829",9.90909,1,63
"11","courtyard","N8241686","N4988346",10,1,7
"12","library","N1133954","N9553169",10.5,1,63
"13","cubicles","N2367950","N4214308",10.5625,1,57
"14","cubicles","N7210304","N8435133",10.652175,0.0806451612903226,62
"15","tworooms","N1780659","N5985613",10.679999,1,63
"16","lab","N2989705","N744888",10.680001,1,62
"17","garden","N331458","N1963853",10.8076935,1,63
"18","bunker3","N8595069","N1657801",10.842105,1,63
"19","roomG","N7374324","N329348",10.962962,1,63
"20","labyrinth3","N5198829","N8899359",11.058824,1,63
"21","cathedral","N54855","N608136",11.5,1,60
"22","library","N9553169","N7453865",11.666667,0.793650793650794,63
"23","museum","N2199854","N3169031",11.807693,1,62
"24","tworooms","N5985613","N1627744",11.849999,1,62
"25","ikea","N7335783","N3251247",11.896551,1,63
"26","bunker3","N1657801","N7360841",11.928571,0.650793650793651,63
"27","cubicles","N8435133","N9556533",11.944446,1,5
"28","library","N9553169","N6857034",12.066667,0.206349206349206,63
"29","roomG","N329348","N3215843",12.090909,1,63
"30","library","N7453865","N4124525",12.461538,1,50
"31","lab","N744888","N8548928",12.500001,1,62
"32","garden","N1963853","N5115068",12.578948,1,62
"33","labyrinth3","N8899359","N8858377",12.727272,0.349206349206349,63
"34","labyrinth3","N8899359","N5316967",13.09091,0.444444444444444,63
"35","ikea","N3251247","N9812190",13.124999,1,62
"36","tworooms","N1627744","N7416731",13.2,0.741935483870968,62
"37","cubicles","N9556533","N9487763",13.214287,1,62
"38","cathedral","N608136","N7058269",13.299999,0.879310344827586,58
"39","roomG","N3215843","N9994126",13.3529415,0.619047619047619,63
"40","museum","N3169031","N599523",13.428573,1,63
"41","cubicles","N2319363","N3487541",13.549999,0,58
"42","bunker3","N1657801","N4351810",13.642858,0.349206349206349,63
"43","library","N6857034","N2272684",13.727272,1,63
"44","courtyard","N990982","N3622934",14,0,56
"45","roomG","N3215843","N3886181",14.294119,0.380952380952381,63
"46","cathedral","N608136","N9813836",14.300001,0.120689655172414,58
"47","museum","N599523","N8999294",14.368422,0.854838709677419,62
"48","ikea","N9812190","N6109064",14.526315,0.758064516129032,62
"49","labyrinth3","N8899359","N7730376",14.545454,0.206349206349206,63
"50","cubicles","N9556533","N4932175",14.642857,0,62
"51","cubicles","N9487763","N9527877",14.700001,0.80952380952381,63
"52","labyrinth3","N5316967","N4592326",14.857143,0.4,45
"53","garden","N5115068","N7850553",15.000001,0.645161290322581,62
"54","lab","N8548928","N9935630",15.076923,0.661290322580645,62
"55","labyrinth3","N8858377","N4938213",15.166667,0.425,40
"56","roomG","N9994126","N8320789",15.272728,1,39
"57","bunker3","N4351810","N6831977",15.3,0.181818181818182,22
"58","tworooms","N1627744","N2169075",15.466667,0.258064516129032,62
"59","cubicles","N8435133","N4303499",15.499999,0,5
"60","garden","N5115068","N7603509",15.571428,0.32258064516129,62
"61","lab","N8548928","N2655524",15.692307,0.258064516129032,62
"62","museum","N599523","N1035050",15.736841,0.145161290322581,62
"63","roomG","N3886181","N413710",15.769232,0.841269841269841,63
"64","ikea","N9812190","N1448237",16.105263,0.241935483870968,62
"65","library","N2272684","N4522484",16.166666,0.761904761904762,63
"66","cathedral","N7058269","N6051250",16.333332,0.509803921568627,51
"67","library","N6857034","N54623",16.454544,0,63
"68","labyrinth3","N8858377","N1078752",16.5,0.575,40
"69","labyrinth3","N5316967","N8407469",16.571428,0.6,45
"70","ikea","N6109064","N100354",16.692307,1,48
"71","library","N2272684","N9747004",16.833332,0.238095238095238,63
"72","bunker3","N4351810","N9720811",16.9,0.818181818181818,22
"73","garden","N7603509","N2138712",16.916666,0.41304347826087,46
"74","museum","N8999294","N3583653",16.928572,0.67741935483871,62
"75","tworooms","N2169075","N2277",17,0.8125,16
"76","cubicles","N9487763","N8892822",17.1,0.19047619047619,63
"77","tworooms","N2169075","N763696",17.166666,0.0625,16
"78","roomG","N3886181","N5279315",17.307692,0,63
"79","museum","N8999294","N3878259",17.5,0.32258064516129,62
"80","roomG","N3886181","N1443972",17.615383,0.158730158730159,63
"81","garden","N5115068","N4747663",17.714285,0.032258064516129,62
"82","museum","N1035050","N9449477",17.8,0,9
"83","garden","N7850553","N6320060",18,0.433333333333333,60
"84","bunker3","N9720811","N3719886",18.25,1,18
"85","tworooms","N2277","N6388298",18.3,0.769230769230769,13
"86","museum","N1035050","N9773808",18.333332,1,9
"87","ikea","N1448237","N4631048",18.357143,0.873015873015873,63
"88","garden","N7850553","N4613075",18.400002,0.566666666666667,60
"89","lab","N9935630","N9994475",18.444445,0.755555555555556,45
"90","tworooms","N2169075","N5159403",18.499998,0.125,16
"91","tworooms","N2277","N5127596",18.5,0,13
"92","cubicles","N8892822","N9981263",18.5,1,12
"93","cathedral","N7058269","N6429694",18.666668,0.490196078431373,51
"94","roomG","N1443972","N2654501",18.727272,0.1,10
"95","lab","N8548928","N4538173",18.76923,0.0806451612903226,62
"96","ikea","N1448237","N2396034",18.785713,0.0158730158730159,63
"97","cubicles","N8892822","N2137138",19,0,12
"98","library","N9747004","N8680754",19,1,15
"99","cubicles","N9487763","N3493111",19.1,0,63
"100","ikea","N4631048","N9016413",19.500002,0.982142857142857,56
"101","museum","N9773808","N4946088",19.692307,1,8
"102","lab","N9935630","N7839123",19.777779,0.244444444444444,45
"103","ikea","N1448237","N234416",19.785715,0.111111111111111,63
"104","museum","N8999294","N7239905",19.785715,0,62
"105","tworooms","N5159403","N1738800",19.9,0.833333333333333,6
"106","tworooms","N2277","N7291500",19.900002,0.230769230769231,13
"107","garden","N7603509","N3123108",20.083336,0.58695652173913,46
"108","garden","N4747663","N4619086",20.090908,0.380952380952381,63
"109","garden","N4747663","N8246099",20.090908,0.619047619047619,63
"110","tworooms","N5159403","N1559736",20.1,0.166666666666667,6
"111","tworooms","N5159403","N7004659",20.1,0,6
"112","cathedral","N6429694","N7958790",20.2,1,25
"113","cubicles","N9981263","N2053914",20.333332,1,12
"114","garden","N4747663","N1289190",20.454544,0,63
"115","museum","N3878259","N4337909",20.5,0.95,20
"116","roomG","N1443972","N7117627",20.545454,0,10
"117","tworooms","N6388298","N2446217",20.571428,0.272727272727273,11
"118","lab","N4538173","N3633749",20.636364,0.3125,16
"119","lab","N4538173","N6476882",20.818182,0,16
"120","ikea","N234416","N3896859",21,1,8
"121","roomG","N1443972","N8317607",21.09091,0.9,10
"122","garden","N4747663","N5433401",21.181818,0,63
"123","lab","N4538173","N2899302",21.545456,0,16
"124","museum","N3878259","N5843320",21.7,0.05,20
"125","lab","N4538173","N63617",21.72727,0.6875,16
"126","roomG","N8317607","N1983096",21.900002,1,9
"127","library","N2272684","N1620555",22.166666,0,63
"128","ikea","N4631048","N6560058",22.166668,0,56
"129","garden","N8246099","N7340845",22.222221,1,39
"130","garden","N8246099","N7102836",22.222225,0,39
"131","tworooms","N1738800","N7295169",22.428572,0.846153846153846,13
"133","cubicles","N8892822","N5568770",22.5,0,12
"134","tworooms","N6388298","N3112363",22.571428,0.727272727272727,11
"135","tworooms","N1738800","N5180650",22.714287,0.153846153846154,13
"136","museum","N4337909","N3311969",22.75,0.947368421052632,19
"137","lab","N3633749","N9315520",22.88889,0,16
"138","lab","N63617","N5745806",22.9,1,16
"139","garden","N8246099","N4984823",23.111113,0,39
"140","ikea","N4631048","N5861572",23.166666,0.0178571428571429,56
"141","museum","N3878259","N2766129",23.300001,0,20
"143","ikea","N234416","N6099980",23.666666,0,8
"144","ikea","N234416","N9299941",23.666666,0,8
"145","lab","N63617","N242960",23.7,0,16
"146","lab","N3633749","N752499",23.777777,0,16
"147","lab","N3633749","N2601690",23.777779,1,16
"148","lab","N3633749","N9447532",23.777779,0,16
"149","lab","N63617","N2927853",23.9,0,16
"150","roomG","N8317607","N940315",23.900002,0,9
"151","library","N9747004","N1647237",24,0,15
"152","lab","N5745806","N1113507",24.222221,0.6875,16
"153","lab","N5745806","N9798875",24.222223,0.0625,16
"154","lab","N63617","N6241308",24.5,0,16
"155","museum","N4337909","N4708138",24.75,0.0526315789473684,19
"156","cubicles","N9981263","N2381213",24.999998,0,12
"157","lab","N5745806","N7444307",25.11111,0.25,16
"158","lab","N2601690","N1930098",25.25,0.125,16
"160","lab","N2601690","N7646124",26.249998,0.3125,16
"161","lab","N2601690","N124975",26.25,0.5625,16
